"sku","name","category","subcategory","price","currency","stock_quantity","materials","colors","dimensions_length","dimensions_width","dimensions_height","dimensions_unit","packaging_dimensions","min_doorway_clearance","assembly_required","weight_capacity","customization_options","bulk_discount_threshold","description","care_instructions","warranty_info","return_policy","shipping_info","permalink","image_urls"
"01-0101","Cabinet Leg Round 60*120 SS","Hardware","Cabinet Leg",170.0,"BDT",5,"Stainless Steel","",2.4,4.7,"","inches","4 x 7 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/cabinet-leg-round-60-120-ss/",""
"01-0102","Cabinet Leg Round 50*180 SS","Hardware","Cabinet Leg",230.0,"BDT",5,"Stainless Steel","",2.0,7.1,"","inches","4 x 9 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/cabinet-leg-round-50-180-ss/",""
"01-0103","Cabinet Leg 50*100 Glass Type","Hardware","Cabinet Leg",210.0,"BDT",5,"Glass","",2.0,3.9,"","inches","4 x 6 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/cabinet-leg-50-100-glass-type/",""
"01-0104","Cabinet Leg 50*100 Alu","Hardware","Cabinet Leg",2100.0,"BDT",5,"","",2.0,3.9,"","inches","4 x 6 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/cabinet-leg-50-100-alu/",""
"01-0104-2","Alu Pipe 50*3Mtr | 01-0104","Hardware","Hardware Hardware",2100.0,"BDT",5,"Aluminium","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Reliable Performance for Modern Design The Leading Edge Aluminum Round Pipe is designed for those who value both functionality and aesthetics. Whether you are building custom furniture, setting up retail displays, or working on home improvement, this pipe provides the structural integrity you need without the heavy weight of steel. Key Features &amp; Benefits: High-Grade Material: Crafted from premium aluminum, ensuring the pipe is naturally resistant to rust and corrosion, even in humid environments. Versatile Dimensions: With a 50mm diameter and a generous 3-meter length , it is easy to cut and adapt to your specific design requirements. Professional Finish: The sleek, metallic aluminum color provides a clean, modern look that fits seamlessly into minimalist and industrial interior styles. Ease of Use: Lightweight enough for easy transport and installation, yet sturdy enough to support significant weight when used in shelving or framing. Common Applications: Interior Design: Handrails, curtain rods, or decorative room dividers. Furniture Building: Table legs, wardrobe racks, and workstation frames. Commercial Use: Signage supports, exhibition stands, and shopfitting. Product Specifications: Model: 01-0104 Shape: Round Diameter: 50mm Length: 3 Meters Material: Industrial-Grade Aluminum Color: Natural Aluminum Finish","","","","","https://leadingedge.com.bd/product/alu-pipe-503mtr-01-0104/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-0104.jpg, 01-0104"
"01-0105","Cabinet Leg 38*38*100 SS Squier","Hardware","Cabinet Leg",175.0,"BDT",5,"Stainless Steel","",1.5,1.5,3.9,"inches","4 x 4 x 7 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/cabinet-leg-38-38-100-ss-squier/",""
"01-0106","Sofa Leg CP Curved |","Hardware","Sofa Leg",160.0,"BDT",5,"Metal, Solid Wood, Stainless Steel, Velvet, Wood","Chrome, White",2.0,4.7,"","inches","4 x 7 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Premium Curved Metal Sofa &amp; Furniture Leg (Model 01-0106) – Chrome Finish 100mm Elegant Curved Silhouette Transform the look of your living room furniture with the sophisticated, fluid lines of the Model 01-0106 Sofa Leg. Moving away from standard straight profiles, this hardware features a beautiful, outward-sweeping ""curved"" design that adds an immediate sense of contemporary luxury and mid-century modern charm to heavy seating and custom storage units. Brilliant Chrome Finish To enhance its modern aesthetic, the leg is treated with a high-quality Chrome Plated (CP) finish. This polished, mirror-like coating catches the light beautifully, serving as a glamorous metallic accent that pairs flawlessly with rich velvet fabrics, premium leathers, and sophisticated interior color palettes. The finish is expertly engineered to maintain its brilliant shine and resist daily scuffs. Heavy-Duty Structural Support Built to confidently bear the substantial weight of multi-seater couches and dense solid wood furniture frames, this leg is manufactured from solid, high-grade metal. Standing at a versatile 100mm height, it provides a grounded yet elevated look that makes cleaning underneath your furniture easier while ensuring total structural stability. Secure Mounting &amp; Stable Base Designed for quick, professional-grade assembly, the top of the leg features a broad, integrated mounting plate equipped with multiple pre-drilled countersunk holes. This allows for a tight, flush, and highly secure attachment directly to the base of your furniture. The leg terminates in a wide, circular foot that maximizes the contact area with the floor, protecting your surfaces and preventing wobbling.","","","","","https://leadingedge.com.bd/product/sofa-leg-100-mm-cp-curved-01-0106/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-0106.webp, 01-0106, https://leadingedge.com.bd/wp-content/uploads/2021/06/LE-0106.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/HTB1DmqpNpXXXXc7XVXXq6xXFXXX3.jpg"
"01-0110","Sofa Leg 100mm White","Hardware","Sofa Leg",225.0,"BDT",5,"Aluminium, Aluminium Size: 100 Mm Color: Black","White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Item Name: Sofa Leg Material: Aluminium Size: 100 mm Color: White","","","","","https://leadingedge.com.bd/product/sofa-leg-100mm-white/",""
"01-0111","Sofa Leg 150mm CP","Hardware","Sofa Leg",450.0,"BDT",5,"Metal","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 15 Cm 3. Color: Black 4. 5. Material: Metal 6. Weight: 59.2 gm","","","","","https://leadingedge.com.bd/product/sofa-leg-150mm-cp/",""
"01-0112","Sofa Leg White |","Hardware","Sofa Leg",475.0,"BDT",5,"Metal, Solid Wood, Wood","Black, White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Premium Tapered Metal Sofa &amp; Furniture Leg (Model 01-0112) – White 120mm Modern Tapered Aesthetic Refresh your living room furniture with the sophisticated, streamlined look of the Model 01-0112 Sofa Leg. Moving away from standard bulky supports, this hardware features an elegant tapered profile that adds an immediate sense of contemporary lightness and Scandinavian-inspired charm to heavy seating and custom storage units. Crisp White Finish To enhance its minimalist appeal, the leg is treated with a high-quality, smooth white finish. This clean metallic treatment serves as a bright, versatile accent that pairs flawlessly with light-colored upholstery, pastel fabrics, or natural wood tones. The finish is expertly engineered for durability, resisting daily scuffs while maintaining its pristine appearance. Heavy-Duty Metal Support Built to confidently bear the substantial weight of multi-seater couches and dense solid wood furniture frames, this leg is manufactured from solid, high-grade metal. Standing at a versatile 120mm height, it provides an ideal elevation that makes cleaning underneath your furniture easier while ensuring total structural stability. Secure Mounting &amp; Floor Protection Designed for quick, professional-grade assembly, the top of the leg features a wide, integrated triangular mounting plate equipped with multiple pre-drilled countersunk holes. This allows for a tight, flush, and highly secure attachment directly to the base of your furniture. To ensure your hardwood or tile floors remain pristine, the base is fitted with a durable black protective pad to prevent scratching.","","","","","https://leadingedge.com.bd/product/sofa-leg-120mm-white-01-0112/","https://leadingedge.com.bd/wp-content/uploads/2023/03/01-0112.webp, 01-0112, https://leadingedge.com.bd/wp-content/uploads/2021/06/Sofa-Leg-02.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Sofa-Leg-03.jpg"
"01-0113","Sofa Leg 100mm Black","Hardware","Sofa Leg",210.0,"BDT",5,"Metal","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 150 mm 3. Color: Black 4. Material: Metal","","","","","https://leadingedge.com.bd/product/sofa-leg-100mm-black/",""
"01-0114","Sofa Leg 150mm Gun Black","Hardware","Sofa Leg",320.0,"BDT",5,"Metal","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 150 mm 3. Color: Black 4. Finish: Matte 5. Material: Metal 6. Weight: 100 gm","","","","","https://leadingedge.com.bd/product/sofa-leg-150mm-gun-black/",""
"01-0115","Sofa Leg CP |","Hardware","Sofa Leg",250.0,"BDT",5,"Metal, Stainless Steel, Velvet","Chrome","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Premium Geometric Stainless Steel Sofa Leg (Model 01-0115) – Chrome Finish Modern Geometric Silhouette Transform the aesthetic of your living room furniture with the striking, contemporary profile of the Model 01-0115 Sofa Leg. Moving away from standard straight designs, this hardware features a sophisticated three-pronged flared silhouette that adds a touch of modern geometric art to heavy sofas, lounge chairs, and custom cabinets. The wide, angular stance not only looks luxurious but provides a superior, balanced foundation for large furniture pieces. Durable Stainless Steel Construction Engineered to withstand the rigorous daily demands of heavy seating, this leg is manufactured from high-quality Stainless Steel (SS). The metal core provides exceptional structural integrity and load-bearing capacity, ensuring your furniture remains completely stable and free from wobbling over time. Brilliant Chrome Finish The exterior is treated with a highly reflective Chrome Plated (CP) finish. This polished, mirror-like coating catches the light beautifully, providing a stunning high-end contrast against velvet, leather, or light-colored upholstery. The finish is also designed to be highly durable and rust-resistant, maintaining its pristine sheen even in humid environments. Secure &amp; Professional Installation Designed for quick, professional-grade assembly, the top of the leg branches into wide, integrated mounting plates equipped with multiple pre-drilled countersunk holes. This allows for a tight, flush, and secure attachment directly to the wooden base of your furniture. Standing at a 150mm height, it provides excellent clearance for a light, elevated room aesthetic.","","","","","https://leadingedge.com.bd/product/sofa-leg-130mm-cp-01-0115/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-0115.webp, 01-0115, https://leadingedge.com.bd/wp-content/uploads/2021/06/Sofa-Leg-0115-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Sofa-Leg-0115-2.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Sofa-Leg-0115.jpg"
"01-0116","Sofa Leg 100mm CP","Hardware","Sofa Leg",275.0,"BDT",5,"","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 100 mm 3. Color: CP 4. 5. Weight: 112 gm","","","","","https://leadingedge.com.bd/product/sofa-leg-100mm-cp/",""
"01-0117","Sofa Leg CP Flat Bar |","Hardware","Sofa Leg",315.0,"BDT",5,"Metal, Wood","Chrome","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Premium Minimalist Flat Bar Metal Sofa Leg (Model 01-0117) – Chrome Finish Minimalist Flat Bar Design Transform your living room furniture with the sleek, architectural silhouette of the Model 01-0117 Sofa Leg. Moving away from traditional bulky supports, this hardware features a refined ""flat bar"" construction bent into a precise angular bridge shape. This ultra-modern design creates a visually light and airy aesthetic, making it the perfect choice for contemporary minimalist sofas, lounge chairs, and high-end cabinetry where a clean, uninterrupted profile is desired. Brilliant Chrome Finish To enhance its modern lines, the leg is treated with a high-quality Chrome Plated (CP) finish. This highly reflective, mirror-like coating catches the light from every angle, providing a striking high-end contrast against dark upholstery, rich leathers, or natural wood tones. The finish is engineered for durability, resisting daily scuffs while maintaining its pristine, polished luster. Lightweight Structural Stability Engineered for efficient performance, this furniture leg is manufactured from solid metal to ensure reliable load-bearing support despite its slender appearance. Weighing just 52.5 grams per piece, it provides an incredible strength-to-weight ratio. Standing at 120mm tall, it offers ideal clearance for an elevated look while maintaining a stable, grounded foundation for your furniture. Secure &amp; Unique Dual Mounting Unlike standard single-plate legs, this model features a unique dual-bracket mounting system. The flat bar extends into two separate horizontal mounting flanges, each equipped with pre-drilled countersunk holes. This design allows for a tight, flush, and exceptionally secure attachment directly to the base frame of your furniture, distributing weight evenly across the hardware.","","","","","https://leadingedge.com.bd/product/sofa-leg-120mm-cp-flat-bar-01-0117/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-0117.webp, 01-0117, https://leadingedge.com.bd/wp-content/uploads/2021/06/Capture3-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Capture2.png"
"01-0118","Sofa Leg 120mm Titanium","Hardware","Sofa Leg",525.0,"BDT",5,"","Gold, Titanium","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 120 mm 3. Color: Gold Titanium 4. 5. Weight: 114 gm","","","","","https://leadingedge.com.bd/product/sofa-leg-120mm-titanium/",""
"01-0119","Sofa Leg 120mm CP","Hardware","Sofa Leg",225.0,"BDT",5,"Metal","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 100 mm 3. Color: CP 4. 5. Weight: 46 gm","","","","","https://leadingedge.com.bd/product/sofa-leg-120mm-cp/",""
"01-0120","Sofa Leg CP |","Hardware","Sofa Leg",790.0,"BDT",0,"Metal, Solid Wood, Wood","Chrome","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Premium Offset Metal Sofa &amp; Furniture Leg (Model 01-0120) – Chrome Finish 180mm Modern Offset Silhouette Elevate your furniture with the sophisticated, architectural profile of the Model 01-0120 Sofa Leg. Moving away from standard centered designs, this hardware features a distinctive ""offset"" profile where the mounting plate is connected via a sharp, angular neck to a slender tapered support. This designer silhouette adds an immediate sense of mid-century modern elegance to heavy seating and custom storage units. Brilliant Chrome Finish The exterior is treated with a premium Chrome Plated (CP) finish that offers a rich, mirror-like luster. This polished metallic treatment catches the light beautifully, providing a striking high-end contrast against dark upholstery, rich leathers, or natural wood tones. The finish is expertly engineered to maintain its brilliant shine and resist daily scuffs and wear. Heavy-Duty Elevated Support Built to confidently bear the substantial weight of multi-seater couches and dense solid wood furniture frames, this leg is manufactured from solid, high-grade metal. Standing at a generous 180mm height, it provides an elegant lift that enhances the visual presence of your furniture while facilitating easier floor maintenance and cleaning underneath your pieces. Secure &amp; Professional Installation Designed for quick assembly and long-lasting stability, the top of the leg features an integrated, rounded-edge mounting plate. Equipped with multiple pre-drilled countersunk holes, this plate allows for a tight, flush, and exceptionally secure attachment directly to the structural base of your furniture frame, ensuring optimal weight distribution.","","","","","https://leadingedge.com.bd/product/sofa-leg-180mm-cp-01-0120/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-0120.webp, 01-0120, https://leadingedge.com.bd/wp-content/uploads/2021/06/New-Doc-2019-04-20-11.30.14_1-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Sofa-Leg-5.jpg"
"01-0121","Sofa Leg 150mm Sand Black","Hardware","Sofa Leg",320.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/sofa-leg-150mm-sand-black/",""
"01-0122","Sofa Leg SS Matte","Hardware","Sofa Leg",630.0,"BDT",5,"Metal, Solid Wood, Stainless Steel, Wood","",2.0,2.0,7.9,"inches","5 x 5 x 11 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Premium Square Metal Sofa &amp; Furniture Leg (Model 01-0122) – SS Matte 200mm Minimalist Square Silhouette Update your furniture with the refined, architectural profile of the Model 01-0122 Sofa Leg. Featuring a bold, 50mm x 50mm square cross-section, this hardware adds an immediate touch of contemporary industrial elegance to heavy sofas, office lounge chairs, and custom cabinets. Its clean, straight lines are designed to complement modern and minimalist interior aesthetics while providing a visually balanced, robust foundation. Sophisticated SS Matte Finish The exterior is treated with a premium SS Matte finish, offering a non-reflective, brushed metallic appearance. This understated treatment serves as a professional accent that pairs flawlessly with light fabrics, dark leathers, and natural wood tones. The finish is expertly engineered to resist fingerprints and daily scuffs, ensuring your hardware maintains its pristine look over time. Heavy-Duty Structural Support Built to confidently bear the substantial weight of multi-seater couches and dense solid wood furniture frames, this leg is manufactured from solid, high-grade metal. Standing at a generous 200mm height, it provides an elegant lift that enhances the visual presence of your furniture while facilitating easier floor maintenance and cleaning underneath your pieces. Secure Mounting &amp; Floor Protection Designed for quick, professional-grade assembly, the top of the leg features an integrated square mounting plate equipped with multiple pre-drilled countersunk holes. This allows for a tight, flush, and exceptionally secure attachment directly to the base of your furniture frame. To ensure your hardwood or tile floors remain pristine, the base is fitted with a durable, non-slip protective pad.","","","","","https://leadingedge.com.bd/product/sofa-leg-50-x-50-x-200mm-ss-matte-01-0122/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-0122.webp, https://leadingedge.com.bd/wp-content/uploads/2021/06/Leg-Post-1-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/23-2.jpg"
"01-0123","Sofa Leg 130mm Matt Black","Hardware","Sofa Leg",260.0,"BDT",5,"Metal","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","1. Sofa Leg 2. Size: 130 mm 3. Color: Black 4. Finish: Matte 5. Material: Metal","","","","","https://leadingedge.com.bd/product/sofa-leg-130mm-matt-black/",""
"01-0124","Sofa Leg 170mm Matt Black","Hardware","Sofa Leg",200.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/sofa-leg-170mm-matt-black/",""
"01-0125","Sofa Leg 150mm Matt Black","Hardware","Sofa Leg",370.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/sofa-leg-150mm-matt-black/",""
"01-0126","Sofa Leg 170mm Matt Black","Hardware","Sofa Leg",350.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/sofa-leg-170mm-matt-black/",""
